movie_id,movie_title,movie_year,IMDB_rating,IMDB_votes,genres
m0,10 things i hate about you,1999,6.90,62847,['comedy'COMMA 'romance']
m1,1492: conquest of paradise,1992,6.20,10421,['adventure'COMMA 'biography'COMMA 'drama'COMMA 'history']
m2,15 minutes,2001,6.10,25854,['action'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m3,2001: a space odyssey,1968,8.40,163227,['adventure'COMMA 'mystery'COMMA 'sci-fi']
m4,48 hrs.,1982,6.90,22289,['action'COMMA 'comedy'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m5,the fifth element,1997,7.50,133756,['action'COMMA 'adventure'COMMA 'romance'COMMA 'sci-fi'COMMA 'thriller']
m6,8mm,1999,6.30,48212,['crime'COMMA 'mystery'COMMA 'thriller']
m7,a nightmare on elm street 4: the dream master,1988,5.20,13590,['fantasy'COMMA 'horror'COMMA 'thriller']
m8,a nightmare on elm street: the dream child,1989,4.70,11092,['fantasy'COMMA 'horror'COMMA 'thriller']
m9,the atomic submarine,1959,4.90,513,['sci-fi'COMMA 'thriller']
m10,affliction,1997,6.90,7252,['drama'COMMA 'mystery'COMMA 'thriller']
m11,air force one,1997,6.30,61978,['action'COMMA 'drama'COMMA 'thriller']
m12,airplane ii: the sequel,1982,5.80,15210,['comedy'COMMA 'romance'COMMA 'sci-fi']
m13,airplane!,1980,7.80,57692,['comedy'COMMA 'romance']
m14,alien nation,1988,6.10,5590,['crime'COMMA 'drama'COMMA 'sci-fi'COMMA 'thriller']
m15,aliens,1986,8.50,173518,['action'COMMA 'sci-fi'COMMA 'thriller']
m16,amadeus,1984,8.40,99138,['biography'COMMA 'drama'COMMA 'music']
m17,an american werewolf in london,1981,7.50,24443,['horror'COMMA 'romance']
m18,american madness,1932,7.40,702,['drama']
m19,american outlaws,2001,5.70,7425,['action'COMMA 'western']
m20,american psycho,2000,7.40,101357,['drama'COMMA 'thriller']
m21,antitrust,2001,6.00,16453,['drama'COMMA 'thriller']
m22,austin powers: international man of mystery,1997,7.10,75240,['action'COMMA 'adventure'COMMA 'comedy'COMMA 'crime']
m23,the avengers,1998,3.40,21519,['action'COMMA 'adventure'COMMA 'thriller']
m24,bachelor party,1984,5.90,14050,['comedy'COMMA 'romance']
m25,backdraft,1991,6.60,28541,['action'COMMA 'crime'COMMA 'drama'COMMA 'mystery'COMMA 'thriller']
m26,bad lieutenant,1992,6.90,13908,['crime'COMMA 'drama']
m27,bamboozled,2000,6.30,5995,['comedy'COMMA 'drama'COMMA 'music']
m28,barry lyndon,1975,8.10,40622,['drama'COMMA 'romance'COMMA 'war']
m29,basic,2003,6.30,26295,['crime'COMMA 'drama'COMMA 'mystery'COMMA 'thriller']
m30,big fish,2003,8.10,144264,['adventure'COMMA 'drama'COMMA 'fantasy']
m31,birthday girl,2001,6.00,13497,['comedy'COMMA 'crime'COMMA 'romance'COMMA 'thriller']
m32,black snake moan,2006,7.10,28509,['drama']
m33,black rain,1989/I,6.40,16249,['action'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m34,blade runner,1982,8.30,188735,['drama'COMMA 'sci-fi'COMMA 'thriller']
m35,blast from the past,1999,6.40,23489,['comedy'COMMA 'drama'COMMA 'romance']
m36,blue velvet,1986,7.80,54576,['crime'COMMA 'mystery'COMMA 'thriller']
m37,the boondock saints,1999,7.80,87895,['action'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m38,bottle rocket,1996,7.20,22303,['comedy'COMMA 'crime']
m39,the bourne supremacy,2004,7.60,106349,['action'COMMA 'adventure'COMMA 'mystery'COMMA 'thriller']
m40,braveheart,1995,8.40,245652,['action'COMMA 'biography'COMMA 'drama'COMMA 'history'COMMA 'war']
m41,the butterfly effect,2004,7.80,104917,['drama'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m42,casablanca,1942,8.80,170874,['drama'COMMA 'romance'COMMA 'war']
m43,cast away,2000,7.50,104477,['adventure'COMMA 'drama']
m44,the cider house rules,1999,7.50,38836,['drama'COMMA 'romance']
m45,confidence,2003,6.80,17235,['crime'COMMA 'thriller']
m46,croupier,1998,7.20,9060,['crime'COMMA 'drama']
m47,dark star,1974,6.50,8303,['comedy'COMMA 'sci-fi'COMMA 'thriller']
m48,dark angel,1990,5.30,3452,['action'COMMA 'crime'COMMA 'drama'COMMA 'horror'COMMA 'sci-fi'COMMA 'thriller']
m49,detroit rock city,1999,6.50,14666,['comedy'COMMA 'music']
m50,donnie darko,2001,8.30,215194,['drama'COMMA 'mystery'COMMA 'sci-fi']
